ExpNum|Class|Method|Contract number|Contract kind|Closed?-BigintOn|Nodes-BigintOn|Closed?-BigintOff|Nodes-BigintOff
03|java.util.ArrayList|add(java.lang.Object)|1|N||2866||2866
04|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
04|java.util.ArrayList|add(java.lang.Object)|1|N|x|4145|x|4145
04|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
05|java.util.ArrayList|add(java.lang.Object)|0|E|x|409|x|409
05|java.util.ArrayList|add(java.lang.Object)|0|L|x|1790|x|1790
05|java.util.ArrayList|add(java.lang.Object)|1|N|x|1999|x|1999
05|java.util.ArrayList|add(java.lang.Object)|2|N|x|503|x|503
06|java.util.ArrayList|add(java.lang.Object)|0|E|x|889|x|889
06|java.util.ArrayList|add(java.lang.Object)|0|L|x|1929|x|1929
06|java.util.ArrayList|add(java.lang.Object)|1|N|x|1989|x|1989
06|java.util.ArrayList|add(java.lang.Object)|2|N|x|1003|x|1003
08|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
08|java.util.ArrayList|add(java.lang.Object)|0|L|x|2255|x|2255
08|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
09|java.util.ArrayList|add(java.lang.Object)|0|E||1284||1284
09|java.util.ArrayList|add(java.lang.Object)|0|L||1667||1667
09|java.util.ArrayList|add(java.lang.Object)|0|N||1918||1918
11|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
11|java.util.ArrayList|add(java.lang.Object)|0|L||1265||1265
11|java.util.ArrayList|add(java.lang.Object)|0|N||1264||1264
11|java.util.ArrayList|add(java.lang.Object)|1|N||1319||1319
11|java.util.ArrayList|add(java.lang.Object)|2|N|x|24|x|24
12|java.util.ArrayList|add(java.lang.Object)|0|E|x|889|x|889
12|java.util.ArrayList|add(java.lang.Object)|0|L|x|1929|x|1929
12|java.util.ArrayList|add(java.lang.Object)|1|N|x|4176|x|4176
12|java.util.ArrayList|add(java.lang.Object)|2|N|x|2668|x|2668
13|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
13|java.util.ArrayList|add(java.lang.Object)|0|L|x|1931|x|1931
13|java.util.ArrayList|add(java.lang.Object)|1|N|x|1939|x|1939
13|java.util.ArrayList|add(java.lang.Object)|2|N|x|21|x|21
14|java.util.ArrayList|add(java.lang.Object)|0|E||1549||1549
15|java.util.ArrayList|add(java.lang.Object)|0|E|x|943|x|943
15|java.util.ArrayList|add(java.lang.Object)|2|N|x|2869|x|2869
16|java.util.ArrayList|add(java.lang.Object)|0|E|x|31|x|31
16|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
17|java.util.ArrayList|add(java.lang.Object)|0|E||1508||1508
17|java.util.ArrayList|add(java.lang.Object)|0|L||4949||4949
18|java.util.ArrayList|add(java.lang.Object)|0|E||1549||1549
01|java.util.ArrayList|clear()|0|L||466||466
01|java.util.ArrayList|clear()|0|N||502||502
02|java.util.ArrayList|clear()|0|L|x|1731|x|1731
02|java.util.ArrayList|clear()|0|N||1711||1711
03|java.util.ArrayList|clear()|0|L||499||499
03|java.util.ArrayList|clear()|0|N||555||555
05|java.util.ArrayList|clear()|0|L|x|1801|x|1801
06|java.util.ArrayList|clear()|0|L|x|1724|x|1724
