ExpNum|Class|Method|Contract number|Contract kind|Closed?-MoreSeqRulesOn|Nodes-MoreSeqRulesOn|Closed?-MoreSeqRulesOff|Nodes-MoreSeqRulesOff
04|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
04|java.util.ArrayList|add(java.lang.Object)|1|N|x|4145|x|4145
04|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
05|java.util.ArrayList|add(java.lang.Object)|0|E|x|409|x|409
05|java.util.ArrayList|add(java.lang.Object)|0|L|x|1790|x|1790
05|java.util.ArrayList|add(java.lang.Object)|1|N|x|1999|x|1999
05|java.util.ArrayList|add(java.lang.Object)|2|N|x|503|x|503
06|java.util.ArrayList|add(java.lang.Object)|0|E|x|889|x|889
06|java.util.ArrayList|add(java.lang.Object)|0|L|x|1929|x|1929
06|java.util.ArrayList|add(java.lang.Object)|1|N|x|4176|x|4176
06|java.util.ArrayList|add(java.lang.Object)|2|N|x|2668|x|2668
07|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
07|java.util.ArrayList|add(java.lang.Object)|0|L|x|1970|x|1970
07|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
08|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
08|java.util.ArrayList|add(java.lang.Object)|0|L|x|2044|x|2044
08|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
09|java.util.ArrayList|add(java.lang.Object)|0|E||917||917
09|java.util.ArrayList|add(java.lang.Object)|0|L||4132||4132
10|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
10|java.util.ArrayList|add(java.lang.Object)|2|N|x|23|x|23
11|java.util.ArrayList|add(java.lang.Object)|0|E||1508||1508
11|java.util.ArrayList|add(java.lang.Object)|0|L||4949||4949
13|java.util.ArrayList|add(java.lang.Object)|0|E|x|944|x|944
13|java.util.ArrayList|add(java.lang.Object)|0|L||1116||1116
13|java.util.ArrayList|add(java.lang.Object)|0|N||1128||1128
13|java.util.ArrayList|add(java.lang.Object)|1|N||1192||1192
13|java.util.ArrayList|add(java.lang.Object)|2|N|x|996|x|996
15|java.util.ArrayList|add(java.lang.Object)|0|E||1549||1549
16|java.util.ArrayList|add(java.lang.Object)|0|E|x|409|x|409
16|java.util.ArrayList|add(java.lang.Object)|0|L|x|1436|x|1436
16|java.util.ArrayList|add(java.lang.Object)|1|N|x|1292|x|1292
16|java.util.ArrayList|add(java.lang.Object)|2|N|x|473|x|473
17|java.util.ArrayList|add(java.lang.Object)|0|E||948||948
17|java.util.ArrayList|add(java.lang.Object)|0|L||1004||1004
17|java.util.ArrayList|add(java.lang.Object)|0|N||1500||1500
17|java.util.ArrayList|add(java.lang.Object)|1|N||2788||2788
17|java.util.ArrayList|add(java.lang.Object)|2|N||2773||2773
18|java.util.ArrayList|add(java.lang.Object)|0|E||1573||1573
01|java.util.ArrayList|clear()|0|L||466||466
01|java.util.ArrayList|clear()|0|N||502||502
02|java.util.ArrayList|clear()|0|L|x|1731|x|1731
02|java.util.ArrayList|clear()|0|N||1711||1711
03|java.util.ArrayList|clear()|0|L||2793||2794
03|java.util.ArrayList|clear()|0|N||2772||2772
05|java.util.ArrayList|clear()|0|L|x|1680|x|1680
06|java.util.ArrayList|clear()|0|L||1068||1068
06|java.util.ArrayList|clear()|0|N||421||421
07|java.util.ArrayList|clear()|0|L|x|1724|x|1724
07|java.util.ArrayList|clear()|0|N|x|1752|x|1752
08|java.util.ArrayList|clear()|0|L|x|1980|x|1980
09|java.util.ArrayList|clear()|0|L|x|1825|x|1825
10|java.util.ArrayList|clear()|0|L||1292||1292
10|java.util.ArrayList|clear()|0|N||1298||1298
11|java.util.ArrayList|clear()|0|L||2056||2056
11|java.util.ArrayList|clear()|0|N||3325||3325
12|java.util.ArrayList|clear()|0|L||387||387
12|java.util.ArrayList|clear()|0|N||409||409
