ExpNum|Class|Method|Contract number|Contract kind|Closed?-QuantifierTreatmentNone|Nodes-QuantifierTreatmentNone|Closed?-QuantifierTreatmentFree|Nodes-QuantifierTreatmentFree
12|java.util.ArrayList|add(java.lang.Object)|1|N|x|3088|x|3093
12|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
13|java.util.ArrayList|add(java.lang.Object)|0|E|x|889|x|944
13|java.util.ArrayList|add(java.lang.Object)|2|N|x|2668|x|2810
14|java.util.ArrayList|add(java.lang.Object)|0|E|x|31|x|34
14|java.util.ArrayList|add(java.lang.Object)|0|L|x|2057|x|2255
14|java.util.ArrayList|add(java.lang.Object)|1|N|x|2407|x|2335
14|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|24
01|java.util.ArrayList|clear()|0|L||469||466
01|java.util.ArrayList|clear()|0|N||501||502
02|java.util.ArrayList|clear()|0|L|x|1714|x|1731
02|java.util.ArrayList|clear()|0|N||1707||1711
03|java.util.ArrayList|clear()|0|L||2770||2793
03|java.util.ArrayList|clear()|0|N||2908||2772
05|java.util.ArrayList|clear()|0|L|x|1825|x|1801
06|java.util.ArrayList|clear()|0|L||920||934
06|java.util.ArrayList|clear()|0|N||962||961
07|java.util.ArrayList|clear()|0|L||185||185
07|java.util.ArrayList|clear()|0|N||219||219
08|java.util.ArrayList|clear()|0|L|x|2270|x|2266
09|java.util.ArrayList|clear()|0|L|x|1825|x|1801
10|java.util.ArrayList|clear()|0|L||1091||1073
10|java.util.ArrayList|clear()|0|N||2399||2331
11|java.util.ArrayList|clear()|0|L|x|1224|x|1243
11|java.util.ArrayList|clear()|0|N||446||446
12|java.util.ArrayList|clear()|0|L||1023||1037
12|java.util.ArrayList|clear()|0|N||1353||1356
13|java.util.ArrayList|clear()|0|L|x|2227|x|2245
13|java.util.ArrayList|clear()|0|N||2644||2711
14|java.util.ArrayList|clear()|0|L||1091||1073
14|java.util.ArrayList|clear()|0|N||1110||1087
15|java.util.ArrayList|clear()|0|L|x|1724|x|1735
01|java.util.ArrayList|ensureCapacity(int)|0|N||162||162
02|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
03|java.util.ArrayList|ensureCapacity(int)|0|N||447||447
05|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|237
06|java.util.ArrayList|ensureCapacity(int)|0|N||271||271
07|java.util.ArrayList|ensureCapacity(int)|0|N||138||133
08|java.util.ArrayList|ensureCapacity(int)|0|N|x|374|x|374
09|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|237
10|java.util.ArrayList|ensureCapacity(int)|0|N||362||361
11|java.util.ArrayList|ensureCapacity(int)|0|N|x|231|x|231
12|java.util.ArrayList|ensureCapacity(int)|0|N||294||294
13|java.util.ArrayList|ensureCapacity(int)|0|N|x|374|x|374
14|java.util.ArrayList|ensureCapacity(int)|0|N||362||361
15|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
01|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
02|java.util.ArrayList|isEmpty()|0|L|x|115|x|114
03|java.util.ArrayList|isEmpty()|0|L||190||171
05|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
06|java.util.ArrayList|isEmpty()|0|L|x|115|x|114
07|java.util.ArrayList|isEmpty()|0|L||46||46
08|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
09|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
10|java.util.ArrayList|isEmpty()|0|L||172||153
11|java.util.ArrayList|isEmpty()|0|L|x|47|x|47
12|java.util.ArrayList|isEmpty()|0|L|x|115|x|114
13|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
14|java.util.ArrayList|isEmpty()|0|L||172||153
15|java.util.ArrayList|isEmpty()|0|L|x|115|x|114
01|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|990|x|1029
02|java.util.ArrayList|outOfBoundsMsg(int)|0|N||306||309
03|java.util.ArrayList|outOfBoundsMsg(int)|0|N||2212||2134
05|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|205|x|242
06|java.util.ArrayList|outOfBoundsMsg(int)|0|N||290||293
07|java.util.ArrayList|outOfBoundsMsg(int)|0|N||94||94
10|java.util.ArrayList|outOfBoundsMsg(int)|0|N||475||464
12|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|429|x|431
13|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|456|x|455
14|java.util.ArrayList|outOfBoundsMsg(int)|0|N||475||464
15|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|453|x|454
01|java.util.ArrayList|rangeCheck(int)|0|L|x|654|x|658
02|java.util.ArrayList|rangeCheck(int)|0|L||855||860
03|java.util.ArrayList|rangeCheck(int)|0|L||1681||1729
06|java.util.ArrayList|rangeCheck(int)|0|L||826||829
07|java.util.ArrayList|rangeCheck(int)|0|L||308||307
10|java.util.ArrayList|rangeCheck(int)|0|L||1144||1159
11|java.util.ArrayList|rangeCheck(int)|0|L|x|694|x|708
12|java.util.ArrayList|rangeCheck(int)|0|L|x|1665|x|1679
13|java.util.ArrayList|rangeCheck(int)|0|L|x|1735|x|1742
14|java.util.ArrayList|rangeCheck(int)|0|L||1144||1159
01|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1308|x|1306
02|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1645||1654
03|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3418||3356
06|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1580||1587
07|java.util.ArrayList|rangeCheckForAdd(int)|0|L||334||333
