ExpNum|Class|Method|Contract number|Contract kind|Closed?-ProofSplittingDelayed|Nodes-ProofSplittingDelayed|Closed?-ProofSplittingFree|Nodes-ProofSplittingFree
02|java.util.ArrayList|add(java.lang.Object)|2|N|x|24|x|24
03|java.util.ArrayList|add(java.lang.Object)|0|E||1502||1531
03|java.util.ArrayList|add(java.lang.Object)|0|L||4855||5975
04|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
04|java.util.ArrayList|add(java.lang.Object)|0|L|x|1274|x|1929
04|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
05|java.util.ArrayList|add(java.lang.Object)|0|E|x|409|x|409
05|java.util.ArrayList|add(java.lang.Object)|0|L|x|1446|x|1790
05|java.util.ArrayList|add(java.lang.Object)|1|N|x|1278|x|1999
05|java.util.ArrayList|add(java.lang.Object)|2|N|x|470|x|503
07|java.util.ArrayList|add(java.lang.Object)|0|E|x|889|x|1148
07|java.util.ArrayList|add(java.lang.Object)|0|L|x|1929|x|3094
07|java.util.ArrayList|add(java.lang.Object)|2|N|x|1797|x|14031
08|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
08|java.util.ArrayList|add(java.lang.Object)|0|L|x|2255|x|2920
08|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
09|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
09|java.util.ArrayList|add(java.lang.Object)|0|L|x|1288|x|1970
09|java.util.ArrayList|add(java.lang.Object)|0|N||967||953
09|java.util.ArrayList|add(java.lang.Object)|1|N|x|1321|x|2064
09|java.util.ArrayList|add(java.lang.Object)|2|N|x|23|x|23
11|java.util.ArrayList|add(java.lang.Object)|0|E||1285||1287
11|java.util.ArrayList|add(java.lang.Object)|0|L||1720||1701
11|java.util.ArrayList|add(java.lang.Object)|0|N||1835||1811
11|java.util.ArrayList|add(java.lang.Object)|1|N||10116||4410
11|java.util.ArrayList|add(java.lang.Object)|2|N||9195||7208
12|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
12|java.util.ArrayList|add(java.lang.Object)|0|L|x|1264|x|1910
12|java.util.ArrayList|add(java.lang.Object)|0|N|x|11229|x|11915
12|java.util.ArrayList|add(java.lang.Object)|1|N|x|1269|x|1950
12|java.util.ArrayList|add(java.lang.Object)|2|N|x|21|x|21
13|java.util.ArrayList|add(java.lang.Object)|0|E|x|889|x|1148
13|java.util.ArrayList|add(java.lang.Object)|0|L|x|1929|x|3094
