ExpNum|Class|Method|Contract number|Contract kind|Closed?-LoopTreatmentInvariant|Nodes-LoopTreatmentInvariant|Closed?-LoopTreatmentLoopScopeInvariant|Nodes-LoopTreatmentLoopScopeInvariant
02|java.util.ArrayList|add(java.lang.Object)|1|N||1319||1319
02|java.util.ArrayList|add(java.lang.Object)|2|N|x|24|x|24
03|java.util.ArrayList|add(java.lang.Object)|0|E||1573||1573
03|java.util.ArrayList|add(java.lang.Object)|0|L||5802||5802
04|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
04|java.util.ArrayList|add(java.lang.Object)|1|N|x|4145|x|4145
04|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
05|java.util.ArrayList|add(java.lang.Object)|0|E|x|409|x|409
05|java.util.ArrayList|add(java.lang.Object)|0|L|x|1790|x|1790
05|java.util.ArrayList|add(java.lang.Object)|0|N|x|24050|x|24050
05|java.util.ArrayList|add(java.lang.Object)|1|N|x|1999|x|1999
05|java.util.ArrayList|add(java.lang.Object)|2|N|x|503|x|503
06|java.util.ArrayList|add(java.lang.Object)|0|E||1261||1261
06|java.util.ArrayList|add(java.lang.Object)|0|L||20841||20841
06|java.util.ArrayList|add(java.lang.Object)|0|N||20949||20949
07|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
07|java.util.ArrayList|add(java.lang.Object)|0|L|x|1970|x|1970
07|java.util.ArrayList|add(java.lang.Object)|0|N|x|18886|x|18886
07|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
08|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
08|java.util.ArrayList|add(java.lang.Object)|0|L|x|2044|x|2044
08|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
10|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
10|java.util.ArrayList|add(java.lang.Object)|0|L|x|2248|x|2248
10|java.util.ArrayList|add(java.lang.Object)|0|N||2166||2166
10|java.util.ArrayList|add(java.lang.Object)|1|N|x|2302|x|2302
10|java.util.ArrayList|add(java.lang.Object)|2|N|x|24|x|24
12|java.util.ArrayList|add(java.lang.Object)|0|E||1290||1290
12|java.util.ArrayList|add(java.lang.Object)|0|L||1675||1675
12|java.util.ArrayList|add(java.lang.Object)|0|N||1813||1813
12|java.util.ArrayList|add(java.lang.Object)|1|N||4430||4430
12|java.util.ArrayList|add(java.lang.Object)|2|N||10661||10661
13|java.util.ArrayList|add(java.lang.Object)|0|E|x|889|x|889
13|java.util.ArrayList|add(java.lang.Object)|2|N|x|2739|x|2739
14|java.util.ArrayList|add(java.lang.Object)|0|E|x|1144|x|1144
14|java.util.ArrayList|add(java.lang.Object)|0|L|x|3160|x|3160
14|java.util.ArrayList|add(java.lang.Object)|0|N||3169||3169
14|java.util.ArrayList|add(java.lang.Object)|1|N|x|4835|x|4835
14|java.util.ArrayList|add(java.lang.Object)|2|N|x|1901|x|1901
15|java.util.ArrayList|add(java.lang.Object)|0|E|x|944|x|944
15|java.util.ArrayList|add(java.lang.Object)|0|L|x|1854|x|1854
15|java.util.ArrayList|add(java.lang.Object)|0|N|x|13575|x|13575
15|java.util.ArrayList|add(java.lang.Object)|1|N|x|4719|x|4719
15|java.util.ArrayList|add(java.lang.Object)|2|N|x|2810|x|2810
16|java.util.ArrayList|add(java.lang.Object)|0|E|x|406|x|406
16|java.util.ArrayList|add(java.lang.Object)|0|L|x|1382|x|1382
16|java.util.ArrayList|add(java.lang.Object)|0|N|x|19379|x|19379
16|java.util.ArrayList|add(java.lang.Object)|1|N|x|1175|x|1175
16|java.util.ArrayList|add(java.lang.Object)|2|N|x|467|x|467
18|java.util.ArrayList|add(java.lang.Object)|0|E||1573||1573
18|java.util.ArrayList|add(java.lang.Object)|0|L||5802||5802
18|java.util.ArrayList|add(java.lang.Object)|2|N||23582||23582
01|java.util.ArrayList|clear()|0|L||466||375
01|java.util.ArrayList|clear()|0|N||502||407
02|java.util.ArrayList|clear()|0|L|x|1983|x|1731
02|java.util.ArrayList|clear()|0|N||1964||1711
