ExpNum|Class|Method|Contract number|Contract kind|Closed?-QueryTreatmentRestricted|Nodes-QueryTreatmentRestricted|Closed?-QueryTreatmentOn|Nodes-QueryTreatmentOn
06|java.util.ArrayList|add(java.lang.Object)|0|E|x|889|x|889
06|java.util.ArrayList|add(java.lang.Object)|0|L|x|1929|x|1929
06|java.util.ArrayList|add(java.lang.Object)|1|N|x|1963|x|4176
06|java.util.ArrayList|add(java.lang.Object)|2|N|x|979|x|2668
07|java.util.ArrayList|add(java.lang.Object)|0|E|x|31|x|31
07|java.util.ArrayList|add(java.lang.Object)|0|L|x|2841|x|2841
07|java.util.ArrayList|add(java.lang.Object)|2|N|x|34|x|34
08|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
08|java.util.ArrayList|add(java.lang.Object)|0|L|x|2255|x|2254
08|java.util.ArrayList|add(java.lang.Object)|1|N|x|2107|x|2080
08|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
09|java.util.ArrayList|add(java.lang.Object)|0|E||453||453
09|java.util.ArrayList|add(java.lang.Object)|0|L||486||486
09|java.util.ArrayList|add(java.lang.Object)|0|N||937||937
09|java.util.ArrayList|add(java.lang.Object)|1|N||2868||3015
09|java.util.ArrayList|add(java.lang.Object)|2|N||1274||1318
10|java.util.ArrayList|add(java.lang.Object)|0|E|x|406|x|406
10|java.util.ArrayList|add(java.lang.Object)|0|L|x|1364|x|1364
10|java.util.ArrayList|add(java.lang.Object)|1|N|x|1295|x|1272
10|java.util.ArrayList|add(java.lang.Object)|2|N|x|462|x|462
12|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
12|java.util.ArrayList|add(java.lang.Object)|0|L||483||483
12|java.util.ArrayList|add(java.lang.Object)|0|N||482||482
12|java.util.ArrayList|add(java.lang.Object)|1|N||483||483
12|java.util.ArrayList|add(java.lang.Object)|2|N|x|21|x|21
13|java.util.ArrayList|add(java.lang.Object)|0|E|x|1140|x|1140
13|java.util.ArrayList|add(java.lang.Object)|0|L|x|3108|x|3108
13|java.util.ArrayList|add(java.lang.Object)|1|N|x|4830|x|4775
13|java.util.ArrayList|add(java.lang.Object)|2|N|x|2453|x|4728
14|java.util.ArrayList|add(java.lang.Object)|0|E||1549||1549
16|java.util.ArrayList|add(java.lang.Object)|0|E|x|943|x|943
16|java.util.ArrayList|add(java.lang.Object)|0|L|x|1892|x|1909
16|java.util.ArrayList|add(java.lang.Object)|1|N|x|2044|x|4855
16|java.util.ArrayList|add(java.lang.Object)|2|N|x|954|x|2807
17|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
17|java.util.ArrayList|add(java.lang.Object)|0|L|x|2915|x|2915
17|java.util.ArrayList|add(java.lang.Object)|1|N|x|3054|x|3073
17|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
01|java.util.ArrayList|clear()|0|L||466||466
01|java.util.ArrayList|clear()|0|N||502||502
02|java.util.ArrayList|clear()|0|L|x|1713|x|1731
02|java.util.ArrayList|clear()|0|N||2085||2085
03|java.util.ArrayList|clear()|0|L||2793||2793
03|java.util.ArrayList|clear()|0|N||2772||2772
05|java.util.ArrayList|clear()|0|L|x|1680|x|1680
06|java.util.ArrayList|clear()|0|L|x|2519|x|2519
06|java.util.ArrayList|clear()|0|N||759||759
07|java.util.ArrayList|clear()|0|L||852||852
