ExpNum|Class|Method|Contract number|Contract kind|Closed?-ClassAxiomRuleFree|Nodes-ClassAxiomRuleFree|Closed?-ClassAxiomRuleDelayed|Nodes-ClassAxiomRuleDelayed
03|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|1167
03|java.util.ArrayList|add(java.lang.Object)|0|L|x|2909|x|3159
04|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|406
04|java.util.ArrayList|add(java.lang.Object)|1|N|x|4145|x|7523
04|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|743
05|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|409
05|java.util.ArrayList|add(java.lang.Object)|0|L|x|1909|x|1790
05|java.util.ArrayList|add(java.lang.Object)|1|N|x|2056|x|1999
05|java.util.ArrayList|add(java.lang.Object)|2|N|x|21|x|503
06|java.util.ArrayList|add(java.lang.Object)|0|E|x|31|x|889
06|java.util.ArrayList|add(java.lang.Object)|0|L|x|1973|x|1929
06|java.util.ArrayList|add(java.lang.Object)|1|N|x|2398|x|4176
06|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|2668
07|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|382
07|java.util.ArrayList|add(java.lang.Object)|0|L|x|1970|x|1689
07|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|4176
08|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|944
08|java.util.ArrayList|add(java.lang.Object)|0|L|x|2012|x|1928
08|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|1754
09|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|379
09|java.util.ArrayList|add(java.lang.Object)|2|N|x|23|x|399
10|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|944
10|java.util.ArrayList|add(java.lang.Object)|0|L||1265||1116
10|java.util.ArrayList|add(java.lang.Object)|0|N||2931||2796
10|java.util.ArrayList|add(java.lang.Object)|1|N||1306|x|4653
10|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|2810
