ExpNum|Class|Method|Contract number|Contract kind|Closed?-StopAtDefault|Nodes-StopAtDefault|Closed?-StopAtUnclosable|Nodes-StopAtUnclosable
02|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
02|java.util.ArrayList|add(java.lang.Object)|0|L||1265||991
02|java.util.ArrayList|add(java.lang.Object)|0|N||1264||998
02|java.util.ArrayList|add(java.lang.Object)|1|N||1319||1014
02|java.util.ArrayList|add(java.lang.Object)|2|N|x|24|x|24
03|java.util.ArrayList|add(java.lang.Object)|0|E||1573||1290
03|java.util.ArrayList|add(java.lang.Object)|0|L||5802||1675
04|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
04|java.util.ArrayList|add(java.lang.Object)|1|N|x|4145|x|4145
04|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
05|java.util.ArrayList|add(java.lang.Object)|0|E|x|409|x|409
05|java.util.ArrayList|add(java.lang.Object)|0|L|x|1790|x|1790
05|java.util.ArrayList|add(java.lang.Object)|0|N|x|24050|x|24050
05|java.util.ArrayList|add(java.lang.Object)|1|N|x|1999|x|1999
05|java.util.ArrayList|add(java.lang.Object)|2|N|x|503|x|503
06|java.util.ArrayList|add(java.lang.Object)|0|E|x|889|x|889
06|java.util.ArrayList|add(java.lang.Object)|0|L|x|1929|x|1929
06|java.util.ArrayList|add(java.lang.Object)|0|N|x|22817|x|22817
06|java.util.ArrayList|add(java.lang.Object)|1|N|x|4176|x|4222
06|java.util.ArrayList|add(java.lang.Object)|2|N|x|2668|x|2668
08|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
08|java.util.ArrayList|add(java.lang.Object)|0|L|x|2255|x|2255
08|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
09|java.util.ArrayList|add(java.lang.Object)|0|E||1504||1284
09|java.util.ArrayList|add(java.lang.Object)|0|L||4860||1667
09|java.util.ArrayList|add(java.lang.Object)|0|N||5743||1809
09|java.util.ArrayList|add(java.lang.Object)|1|N||9536||2036
09|java.util.ArrayList|add(java.lang.Object)|2|N||2234||1771
12|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
12|java.util.ArrayList|add(java.lang.Object)|0|L|x|1931|x|1931
12|java.util.ArrayList|add(java.lang.Object)|0|N|x|11921|x|11921
12|java.util.ArrayList|add(java.lang.Object)|1|N|x|1985|x|1985
12|java.util.ArrayList|add(java.lang.Object)|2|N|x|21|x|21
13|java.util.ArrayList|add(java.lang.Object)|0|E|x|944|x|944
13|java.util.ArrayList|add(java.lang.Object)|0|L||1116||794
13|java.util.ArrayList|add(java.lang.Object)|0|N||1128||796
13|java.util.ArrayList|add(java.lang.Object)|1|N||1192||818
13|java.util.ArrayList|add(java.lang.Object)|2|N|x|996|x|996
14|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
14|java.util.ArrayList|add(java.lang.Object)|0|L|x|2914|x|2914
14|java.util.ArrayList|add(java.lang.Object)|1|N|x|3052|x|3068
14|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
15|java.util.ArrayList|add(java.lang.Object)|0|E|x|31|x|31
15|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
17|java.util.ArrayList|add(java.lang.Object)|0|E|x|944|x|944
17|java.util.ArrayList|add(java.lang.Object)|0|L|x|1854|x|1854
17|java.util.ArrayList|add(java.lang.Object)|0|N|x|13575|x|13575
17|java.util.ArrayList|add(java.lang.Object)|1|N|x|4719|x|4771
17|java.util.ArrayList|add(java.lang.Object)|2|N|x|2810|x|2810
01|java.util.ArrayList|clear()|0|L||576||466
01|java.util.ArrayList|clear()|0|N||612||502
02|java.util.ArrayList|clear()|0|L|x|1731|x|1731
02|java.util.ArrayList|clear()|0|N||1711||651
03|java.util.ArrayList|clear()|0|L||2794||499
03|java.util.ArrayList|clear()|0|N||2772||555
05|java.util.ArrayList|clear()|0|L|x|1801|x|1801
06|java.util.ArrayList|clear()|0|L||920||852
06|java.util.ArrayList|clear()|0|N||1213||668
07|java.util.ArrayList|clear()|0|L||1223||1064
07|java.util.ArrayList|clear()|0|N||1269||1110
08|java.util.ArrayList|clear()|0|L|x|1132|x|1132
09|java.util.ArrayList|clear()|0|L||2011||293
09|java.util.ArrayList|clear()|0|N||1973||304
11|java.util.ArrayList|clear()|0|L||922||857
11|java.util.ArrayList|clear()|0|N||896||489
12|java.util.ArrayList|clear()|0|L|x|1243|x|1243
12|java.util.ArrayList|clear()|0|N|x|1281|x|1281
13|java.util.ArrayList|clear()|0|L||1073||472
13|java.util.ArrayList|clear()|0|N||2327||488
14|java.util.ArrayList|clear()|0|L|x|1731|x|1731
