ExpNum|Class|Method|Contract number|Contract kind|Closed?-SequencesOn|Nodes-SequencesOn|Closed?-SequencesOff|Nodes-SequencesOff
05|java.util.ArrayList|add(java.lang.Object)|0|L|x|1790|x|1790
05|java.util.ArrayList|add(java.lang.Object)|1|N|x|1999|x|1999
05|java.util.ArrayList|add(java.lang.Object)|2|N|x|503|x|503
06|java.util.ArrayList|add(java.lang.Object)|0|E|x|889|x|889
06|java.util.ArrayList|add(java.lang.Object)|0|L|x|1929|x|1929
06|java.util.ArrayList|add(java.lang.Object)|1|N|x|4176|x|4222
06|java.util.ArrayList|add(java.lang.Object)|2|N|x|2668|x|2668
07|java.util.ArrayList|add(java.lang.Object)|0|E||937||937
07|java.util.ArrayList|add(java.lang.Object)|0|L||4423||4423
08|java.util.ArrayList|add(java.lang.Object)|0|E|x|944|x|944
08|java.util.ArrayList|add(java.lang.Object)|0|L|x|1900|x|1900
08|java.util.ArrayList|add(java.lang.Object)|2|N|x|1791|x|1791
09|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
09|java.util.ArrayList|add(java.lang.Object)|0|L|x|2041|x|2041
09|java.util.ArrayList|add(java.lang.Object)|0|N||2141||2141
09|java.util.ArrayList|add(java.lang.Object)|1|N|x|2048|x|2048
09|java.util.ArrayList|add(java.lang.Object)|2|N|x|24|x|24
11|java.util.ArrayList|add(java.lang.Object)|0|E|x|379|x|379
11|java.util.ArrayList|add(java.lang.Object)|0|L|x|1618|x|1618
11|java.util.ArrayList|add(java.lang.Object)|1|N|x|1785|x|1785
11|java.util.ArrayList|add(java.lang.Object)|2|N|x|402|x|402
12|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
12|java.util.ArrayList|add(java.lang.Object)|0|L|x|2004|x|2004
12|java.util.ArrayList|add(java.lang.Object)|1|N|x|2097|x|2424
12|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
14|java.util.ArrayList|add(java.lang.Object)|0|E|x|31|x|31
14|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
15|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
15|java.util.ArrayList|add(java.lang.Object)|0|L|x|2915|x|2915
15|java.util.ArrayList|add(java.lang.Object)|1|N|x|3073|x|3073
15|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
16|java.util.ArrayList|add(java.lang.Object)|0|E|x|944|x|944
16|java.util.ArrayList|add(java.lang.Object)|0|L||1116||1116
16|java.util.ArrayList|add(java.lang.Object)|0|N||2796||2796
16|java.util.ArrayList|add(java.lang.Object)|1|N|x|4653|x|4653
16|java.util.ArrayList|add(java.lang.Object)|2|N|x|2810|x|2810
17|java.util.ArrayList|add(java.lang.Object)|0|E||1508||1508
17|java.util.ArrayList|add(java.lang.Object)|0|L||4949||4949
01|java.util.ArrayList|clear()|0|L||466||466
01|java.util.ArrayList|clear()|0|N||502||502
02|java.util.ArrayList|clear()|0|L|x|1731|x|1731
02|java.util.ArrayList|clear()|0|N||1711||1711
03|java.util.ArrayList|clear()|0|L||2794||2793
03|java.util.ArrayList|clear()|0|N||2772||2772
04|java.util.ArrayList|clear()|0|L|x|1127|x|1127
04|java.util.ArrayList|clear()|0|N|x|1109|x|1109
05|java.util.ArrayList|clear()|0|L|x|1801|x|1801
06|java.util.ArrayList|clear()|0|L||1223||1223
06|java.util.ArrayList|clear()|0|N||1525||1525
07|java.util.ArrayList|clear()|0|L||185||185
07|java.util.ArrayList|clear()|0|N||219||219
08|java.util.ArrayList|clear()|0|L|x|1739|x|1735
10|java.util.ArrayList|clear()|0|L||476||476
10|java.util.ArrayList|clear()|0|N||471||471
11|java.util.ArrayList|clear()|0|L||292||292
11|java.util.ArrayList|clear()|0|N||319||319
12|java.util.ArrayList|clear()|0|L||857||857
12|java.util.ArrayList|clear()|0|N||489||489
13|java.util.ArrayList|clear()|0|L|x|1714|x|1704
13|java.util.ArrayList|clear()|0|N||2118||2121
14|java.util.ArrayList|clear()|0|L|x|2267|x|2267
14|java.util.ArrayList|clear()|0|N||2305||2288
16|java.util.ArrayList|clear()|0|L|x|2516|x|2516
17|java.util.ArrayList|clear()|0|L|x|1735|x|1735
01|java.util.ArrayList|ensureCapacity(int)|0|N||162||162
01|java.util.ArrayList|ensureCapacity(int)|1|N||237||237
