ExpNum|Class|Method|Contract number|Contract kind|Closed?-ArithmeticTreatmentBasic|Nodes-ArithmeticTreatmentBasic|Closed?-ArithmeticTreatmentDefOps|Nodes-ArithmeticTreatmentDefOps
02|java.util.ArrayList|add(java.lang.Object)|0|L||1265||1265
02|java.util.ArrayList|add(java.lang.Object)|0|N||1264||1264
02|java.util.ArrayList|add(java.lang.Object)|1|N||1319||1319
02|java.util.ArrayList|add(java.lang.Object)|2|N|x|24|x|24
03|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
03|java.util.ArrayList|add(java.lang.Object)|0|L|x|2909|x|2909
03|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
04|java.util.ArrayList|add(java.lang.Object)|0|E|x|409|x|409
04|java.util.ArrayList|add(java.lang.Object)|0|L|x|1432|x|1432
04|java.util.ArrayList|add(java.lang.Object)|1|N|x|1299|x|1299
04|java.util.ArrayList|add(java.lang.Object)|2|N|x|473|x|473
05|java.util.ArrayList|add(java.lang.Object)|0|E||783||783
05|java.util.ArrayList|add(java.lang.Object)|0|L||747||747
05|java.util.ArrayList|add(java.lang.Object)|0|N||749||749
05|java.util.ArrayList|add(java.lang.Object)|1|N||2198||2198
05|java.util.ArrayList|add(java.lang.Object)|2|N||1464||1464
07|java.util.ArrayList|add(java.lang.Object)|0|E|x|889|x|889
07|java.util.ArrayList|add(java.lang.Object)|2|N|x|1802|x|1802
08|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
08|java.util.ArrayList|add(java.lang.Object)|0|L||637||637
08|java.util.ArrayList|add(java.lang.Object)|0|N||1653||1653
08|java.util.ArrayList|add(java.lang.Object)|1|N||661||661
08|java.util.ArrayList|add(java.lang.Object)|2|N|x|21|x|21
09|java.util.ArrayList|add(java.lang.Object)|0|E||1508||1508
09|java.util.ArrayList|add(java.lang.Object)|0|L||4949||4949
10|java.util.ArrayList|add(java.lang.Object)|0|E||1290||1290
10|java.util.ArrayList|add(java.lang.Object)|0|L||1675||1675
10|java.util.ArrayList|add(java.lang.Object)|0|N||1833||1833
10|java.util.ArrayList|add(java.lang.Object)|1|N||4458||4458
11|java.util.ArrayList|add(java.lang.Object)|0|E|x|1144|x|1144
11|java.util.ArrayList|add(java.lang.Object)|0|L|x|3162|x|3162
11|java.util.ArrayList|add(java.lang.Object)|0|N||3167||3167
11|java.util.ArrayList|add(java.lang.Object)|1|N|x|4834|x|4834
11|java.util.ArrayList|add(java.lang.Object)|2|N|x|1901|x|1901
12|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
12|java.util.ArrayList|add(java.lang.Object)|0|L|x|1931|x|1931
12|java.util.ArrayList|add(java.lang.Object)|1|N|x|1985|x|1985
12|java.util.ArrayList|add(java.lang.Object)|2|N|x|21|x|21
13|java.util.ArrayList|add(java.lang.Object)|0|E|x|31|x|31
13|java.util.ArrayList|add(java.lang.Object)|0|L|x|1982|x|1982
13|java.util.ArrayList|add(java.lang.Object)|1|N|x|2398|x|2398
13|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
14|java.util.ArrayList|add(java.lang.Object)|0|E||1508||1508
14|java.util.ArrayList|add(java.lang.Object)|0|L||4949||4949
14|java.util.ArrayList|add(java.lang.Object)|2|N||2175||2175
15|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
15|java.util.ArrayList|add(java.lang.Object)|0|L|x|2915|x|2915
15|java.util.ArrayList|add(java.lang.Object)|1|N|x|3054|x|3054
15|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
16|java.util.ArrayList|add(java.lang.Object)|0|E|x|1167|x|1167
16|java.util.ArrayList|add(java.lang.Object)|0|L|x|3159|x|3159
16|java.util.ArrayList|add(java.lang.Object)|1|N|x|4805|x|4805
16|java.util.ArrayList|add(java.lang.Object)|2|N|x|4682|x|4682
01|java.util.ArrayList|clear()|0|L||466|x|1823
01|java.util.ArrayList|clear()|0|N||502|x|1572
02|java.util.ArrayList|clear()|0|L||934|x|1731
02|java.util.ArrayList|clear()|0|N||917||1711
03|java.util.ArrayList|clear()|0|L||1236|x|1983
03|java.util.ArrayList|clear()|0|N||1269|x|2016
04|java.util.ArrayList|clear()|0|L||375|x|1695
04|java.util.ArrayList|clear()|0|N||334||460
05|java.util.ArrayList|clear()|0|L||472||573
05|java.util.ArrayList|clear()|0|N||518||631
06|java.util.ArrayList|clear()|0|L||652||2252
06|java.util.ArrayList|clear()|0|N||649||2093
07|java.util.ArrayList|clear()|0|L||906|x|2254
07|java.util.ArrayList|clear()|0|N||949|x|2325
08|java.util.ArrayList|clear()|0|L||473|x|1243
08|java.util.ArrayList|clear()|0|N||645||1483
09|java.util.ArrayList|clear()|0|L||1073||2517
09|java.util.ArrayList|clear()|0|N||1151||2580
10|java.util.ArrayList|clear()|0|L||472||573
10|java.util.ArrayList|clear()|0|N||488||605
11|java.util.ArrayList|clear()|0|L||863|x|1714
11|java.util.ArrayList|clear()|0|N||905|x|1739
12|java.util.ArrayList|clear()|0|L||375|x|1695
12|java.util.ArrayList|clear()|0|N||212||324
13|java.util.ArrayList|clear()|0|L||1236|x|1983
13|java.util.ArrayList|clear()|0|N||1218||1964
14|java.util.ArrayList|clear()|0|L||1073||2517
14|java.util.ArrayList|clear()|0|N||2340||4229
15|java.util.ArrayList|clear()|0|L||1091||2491
15|java.util.ArrayList|clear()|0|N||2404||4446
16|java.util.ArrayList|clear()|0|L||1081||2517
16|java.util.ArrayList|clear()|0|N||1087||2568
17|java.util.ArrayList|clear()|0|L||1073||2517
17|java.util.ArrayList|clear()|0|N||2331||4229
01|java.util.ArrayList|ensureCapacity(int)|0|N||162|x|237
02|java.util.ArrayList|ensureCapacity(int)|0|N||271|x|371
02|java.util.ArrayList|ensureCapacity(int)|1|N||1831||3230
03|java.util.ArrayList|ensureCapacity(int)|0|N||294|x|371
04|java.util.ArrayList|ensureCapacity(int)|0|N||162|x|237
05|java.util.ArrayList|ensureCapacity(int)|0|N||261||391
05|java.util.ArrayList|ensureCapacity(int)|1|N||415||972
06|java.util.ArrayList|ensureCapacity(int)|0|N||217||319
07|java.util.ArrayList|ensureCapacity(int)|0|N||277|x|374
07|java.util.ArrayList|ensureCapacity(int)|1|N||1798||3971
