ExpNum|Class|Method|Contract number|Contract kind|Closed?-ClassAxiomRuleFree|Nodes-ClassAxiomRuleFree|Closed?-ClassAxiomRuleOff|Nodes-ClassAxiomRuleOff
06|java.util.ArrayList|add(java.lang.Object)|0|L|x|1973||20841
10|java.util.ArrayList|add(java.lang.Object)|0|E|x|34||948
10|java.util.ArrayList|add(java.lang.Object)|0|L||1265||1004
10|java.util.ArrayList|add(java.lang.Object)|0|N||2931||1500
10|java.util.ArrayList|add(java.lang.Object)|1|N||1306||2788
10|java.util.ArrayList|add(java.lang.Object)|2|N|x|29||2773
12|java.util.ArrayList|add(java.lang.Object)|0|E|x|22||718
12|java.util.ArrayList|add(java.lang.Object)|0|L|x|1931||1265
12|java.util.ArrayList|add(java.lang.Object)|1|N|x|1985||2383
14|java.util.ArrayList|add(java.lang.Object)|0|E|x|34||1549
14|java.util.ArrayList|add(java.lang.Object)|0|L|x|2914||5888
14|java.util.ArrayList|add(java.lang.Object)|1|N|x|3095||12124
14|java.util.ArrayList|add(java.lang.Object)|2|N|x|24||2958
16|java.util.ArrayList|add(java.lang.Object)|0|E|x|34||948
16|java.util.ArrayList|add(java.lang.Object)|0|L||1265||1004
16|java.util.ArrayList|add(java.lang.Object)|0|N||2925||1500
16|java.util.ArrayList|add(java.lang.Object)|1|N||1305||2804
16|java.util.ArrayList|add(java.lang.Object)|2|N|x|29||2796
17|java.util.ArrayList|add(java.lang.Object)|0|E|x|34||1508
17|java.util.ArrayList|add(java.lang.Object)|0|L|x|2252||4949
18|java.util.ArrayList|add(java.lang.Object)|0|E|x|34||1549
18|java.util.ArrayList|add(java.lang.Object)|0|L|x|2915||5850
19|java.util.ArrayList|add(java.lang.Object)|0|E|x|34||1573
19|java.util.ArrayList|add(java.lang.Object)|0|L|x|2909||5802
01|java.util.ArrayList|clear()|0|L||462||170
01|java.util.ArrayList|clear()|0|N||484||204
02|java.util.ArrayList|clear()|0|L|x|1731||2032
02|java.util.ArrayList|clear()|0|N||1711||2041
03|java.util.ArrayList|clear()|0|L|x|1983||2794
03|java.util.ArrayList|clear()|0|N|x|1988||2772
06|java.util.ArrayList|clear()|0|L||1228||1298
06|java.util.ArrayList|clear()|0|N||1564||2610
10|java.util.ArrayList|clear()|0|L|x|1243||270
10|java.util.ArrayList|clear()|0|N||308||276
11|java.util.ArrayList|clear()|0|L||1037||1073
11|java.util.ArrayList|clear()|0|N||1356||2340
12|java.util.ArrayList|clear()|0|L|x|1731||2517
12|java.util.ArrayList|clear()|0|N||2114||4229
13|java.util.ArrayList|clear()|0|L||371||185
13|java.util.ArrayList|clear()|0|N||332||205
14|java.util.ArrayList|clear()|0|L||934||895
14|java.util.ArrayList|clear()|0|N||917||877
16|java.util.ArrayList|clear()|0|L|x|1714||2557
16|java.util.ArrayList|clear()|0|N||2118||4446
17|java.util.ArrayList|clear()|0|L|x|1731||2517
17|java.util.ArrayList|clear()|0|N||2114||4229
18|java.util.ArrayList|clear()|0|L||1037||1073
18|java.util.ArrayList|clear()|0|N||1356||2331
01|java.util.ArrayList|ensureCapacity(int)|0|N||155||141
01|java.util.ArrayList|ensureCapacity(int)|1|N||228||256
02|java.util.ArrayList|ensureCapacity(int)|0|N|x|371||398
02|java.util.ArrayList|ensureCapacity(int)|1|N||3230||4204
03|java.util.ArrayList|ensureCapacity(int)|0|N|x|371||451
06|java.util.ArrayList|ensureCapacity(int)|0|N||294||362
06|java.util.ArrayList|ensureCapacity(int)|1|N||1938||2606
10|java.util.ArrayList|ensureCapacity(int)|0|N|x|231||267
10|java.util.ArrayList|ensureCapacity(int)|1|N||745||787
11|java.util.ArrayList|ensureCapacity(int)|0|N||294||361
11|java.util.ArrayList|ensureCapacity(int)|1|N||2363||3995
12|java.util.ArrayList|ensureCapacity(int)|0|N|x|371||451
13|java.util.ArrayList|ensureCapacity(int)|0|N||136||133
13|java.util.ArrayList|ensureCapacity(int)|1|N||228||255
14|java.util.ArrayList|ensureCapacity(int)|0|N||271||268
14|java.util.ArrayList|ensureCapacity(int)|1|N||1831||2015
16|java.util.ArrayList|ensureCapacity(int)|0|N|x|371||447
17|java.util.ArrayList|ensureCapacity(int)|0|N|x|371||451
18|java.util.ArrayList|ensureCapacity(int)|0|N||294||361
18|java.util.ArrayList|ensureCapacity(int)|1|N||2183||2898
01|java.util.ArrayList|fastRemove(int)|0|N||288||290
06|java.util.ArrayList|fastRemove(int)|0|N||2566||4262
10|java.util.ArrayList|fastRemove(int)|0|N||1877||2305
13|java.util.ArrayList|fastRemove(int)|0|N||281||283
18|java.util.ArrayList|fastRemove(int)|0|N||2669||4476
01|java.util.ArrayList|isEmpty()|0|L|x|47||65
02|java.util.ArrayList|isEmpty()|0|L|x|114||122
03|java.util.ArrayList|isEmpty()|0|L|x|114||171
06|java.util.ArrayList|isEmpty()|0|L|x|115||172
10|java.util.ArrayList|isEmpty()|0|L|x|47||55
11|java.util.ArrayList|isEmpty()|0|L|x|114||153
12|java.util.ArrayList|isEmpty()|0|L|x|114||171
13|java.util.ArrayList|isEmpty()|0|L|x|47||46
14|java.util.ArrayList|isEmpty()|0|L|x|114||113
16|java.util.ArrayList|isEmpty()|0|L|x|115||190
17|java.util.ArrayList|isEmpty()|0|L|x|114||171
18|java.util.ArrayList|isEmpty()|0|L|x|114||153
01|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|798||681
02|java.util.ArrayList|outOfBoundsMsg(int)|0|N||6580||6622
03|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|456||474
06|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|429||475
10|java.util.ArrayList|outOfBoundsMsg(int)|0|N||162||108
11|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|431||464
12|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|456||474
