ExpNum|Class|Method|Contract number|Contract kind|Closed?-OneStepSimplificationEnabled|Nodes-OneStepSimplificationEnabled|Closed?-OneStepSimplificationDisabled|Nodes-OneStepSimplificationDisabled
02|java.util.ArrayList|add(java.lang.Object)|0|N||631||1264
02|java.util.ArrayList|add(java.lang.Object)|1|N||672||1319
02|java.util.ArrayList|add(java.lang.Object)|2|N|x|23|x|24
03|java.util.ArrayList|add(java.lang.Object)|0|E||929||1573
03|java.util.ArrayList|add(java.lang.Object)|0|L||4276||5802
04|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|34
04|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
05|java.util.ArrayList|add(java.lang.Object)|0|E|x|409|x|1140
05|java.util.ArrayList|add(java.lang.Object)|0|L|x|1790|x|3108
05|java.util.ArrayList|add(java.lang.Object)|1|N|x|1999|x|4830
05|java.util.ArrayList|add(java.lang.Object)|2|N|x|503|x|2453
06|java.util.ArrayList|add(java.lang.Object)|0|L||20618||20841
06|java.util.ArrayList|add(java.lang.Object)|0|N||20708||20949
07|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|31
07|java.util.ArrayList|add(java.lang.Object)|0|L|x|1917|x|2832
07|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|34
08|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|34
08|java.util.ArrayList|add(java.lang.Object)|0|L|x|1262|x|2044
08|java.util.ArrayList|add(java.lang.Object)|1|N|x|1325|x|2037
08|java.util.ArrayList|add(java.lang.Object)|2|N|x|21|x|29
09|java.util.ArrayList|add(java.lang.Object)|0|E|x|406|x|944
09|java.util.ArrayList|add(java.lang.Object)|0|L|x|1364|x|1859
09|java.util.ArrayList|add(java.lang.Object)|0|N||1527||2068
09|java.util.ArrayList|add(java.lang.Object)|1|N|x|1265|x|1997
09|java.util.ArrayList|add(java.lang.Object)|2|N|x|449|x|960
10|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|31
10|java.util.ArrayList|add(java.lang.Object)|2|N|x|23|x|29
12|java.util.ArrayList|add(java.lang.Object)|0|E||350||783
12|java.util.ArrayList|add(java.lang.Object)|0|L||337||747
12|java.util.ArrayList|add(java.lang.Object)|0|N||338||749
12|java.util.ArrayList|add(java.lang.Object)|1|N||459||1220
12|java.util.ArrayList|add(java.lang.Object)|2|N||451||1213
13|java.util.ArrayList|add(java.lang.Object)|0|E|x|382|x|1148
13|java.util.ArrayList|add(java.lang.Object)|0|L|x|1705|x|3094
13|java.util.ArrayList|add(java.lang.Object)|0|N|x|11408|x|21729
13|java.util.ArrayList|add(java.lang.Object)|1|N|x|1756|x|5997
13|java.util.ArrayList|add(java.lang.Object)|2|N|x|439|x|5051
14|java.util.ArrayList|add(java.lang.Object)|0|E|x|406|x|1164
14|java.util.ArrayList|add(java.lang.Object)|0|L|x|1777|x|3088
14|java.util.ArrayList|add(java.lang.Object)|1|N|x|1981|x|4846
14|java.util.ArrayList|add(java.lang.Object)|2|N|x|495|x|4664
15|java.util.ArrayList|add(java.lang.Object)|0|E||929||1549
15|java.util.ArrayList|add(java.lang.Object)|0|L||4276||5888
16|java.util.ArrayList|add(java.lang.Object)|0|E|x|409|x|943
16|java.util.ArrayList|add(java.lang.Object)|2|N|x|470|x|2869
18|java.util.ArrayList|add(java.lang.Object)|0|E||930||1501
18|java.util.ArrayList|add(java.lang.Object)|0|L||4114||5026
18|java.util.ArrayList|add(java.lang.Object)|2|N||8496||17910
01|java.util.ArrayList|clear()|0|L||466||1068
01|java.util.ArrayList|clear()|0|N||502||1119
02|java.util.ArrayList|clear()|0|L|x|1109|x|1731
02|java.util.ArrayList|clear()|0|N||1160||1711
03|java.util.ArrayList|clear()|0|L||2189||2793
03|java.util.ArrayList|clear()|0|N||2331||2772
05|java.util.ArrayList|clear()|0|L|x|1680|x|2266
06|java.util.ArrayList|clear()|0|L||383||863
06|java.util.ArrayList|clear()|0|N||343||682
07|java.util.ArrayList|clear()|0|L|x|1246|x|1957
07|java.util.ArrayList|clear()|0|N|x|1256|x|2002
08|java.util.ArrayList|clear()|0|L|x|1239|x|1980
09|java.util.ArrayList|clear()|0|L|x|1825|x|2515
09|java.util.ArrayList|clear()|0|N|x|1847|x|2586
10|java.util.ArrayList|clear()|0|L||625||1292
10|java.util.ArrayList|clear()|0|N||647||1298
11|java.util.ArrayList|clear()|0|L||185||472
11|java.util.ArrayList|clear()|0|N||205||488
12|java.util.ArrayList|clear()|0|L|x|1684|x|2227
12|java.util.ArrayList|clear()|0|N||460||835
13|java.util.ArrayList|clear()|0|L||522||1081
13|java.util.ArrayList|clear()|0|N||548||1087
14|java.util.ArrayList|clear()|0|L|x|1680|x|2266
15|java.util.ArrayList|clear()|0|L|x|1109|x|1731
15|java.util.ArrayList|clear()|0|N||1384||2124
16|java.util.ArrayList|clear()|0|L||2011||2491
16|java.util.ArrayList|clear()|0|N||3123||4446
17|java.util.ArrayList|clear()|0|L||352||895
17|java.util.ArrayList|clear()|0|N||526||1183
18|java.util.ArrayList|clear()|0|L||2056||2517
18|java.util.ArrayList|clear()|0|N||3326||4229
01|java.util.ArrayList|ensureCapacity(int)|0|N||162||293
01|java.util.ArrayList|ensureCapacity(int)|1|N||237||401
02|java.util.ArrayList|ensureCapacity(int)|0|N|x|231|x|371
02|java.util.ArrayList|ensureCapacity(int)|1|N||2327||3230
03|java.util.ArrayList|ensureCapacity(int)|0|N||323||451
05|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|374
06|java.util.ArrayList|ensureCapacity(int)|0|N||155||287
06|java.util.ArrayList|ensureCapacity(int)|1|N||214||380
07|java.util.ArrayList|ensureCapacity(int)|0|N|x|231|x|371
08|java.util.ArrayList|ensureCapacity(int)|0|N|x|231|x|371
09|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|374
10|java.util.ArrayList|ensureCapacity(int)|0|N||210||361
10|java.util.ArrayList|ensureCapacity(int)|1|N||1651||2759
11|java.util.ArrayList|ensureCapacity(int)|0|N||133||261
11|java.util.ArrayList|ensureCapacity(int)|1|N||255||415
12|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|374
13|java.util.ArrayList|ensureCapacity(int)|0|N||210||361
13|java.util.ArrayList|ensureCapacity(int)|1|N||2956||4237
14|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|374
15|java.util.ArrayList|ensureCapacity(int)|0|N|x|231|x|371
16|java.util.ArrayList|ensureCapacity(int)|0|N||319||447
17|java.util.ArrayList|ensureCapacity(int)|0|N||136||268
17|java.util.ArrayList|ensureCapacity(int)|1|N||953||2015
18|java.util.ArrayList|ensureCapacity(int)|0|N||323||451
01|java.util.ArrayList|fastRemove(int)|0|N||290||463
06|java.util.ArrayList|fastRemove(int)|0|N||248||427
08|java.util.ArrayList|fastRemove(int)|0|N|x|8361|x|11770
10|java.util.ArrayList|fastRemove(int)|0|N||2748||4251
11|java.util.ArrayList|fastRemove(int)|0|N||283||456
12|java.util.ArrayList|fastRemove(int)|0|N||16347||17529
13|java.util.ArrayList|fastRemove(int)|0|N||11667||14278
15|java.util.ArrayList|fastRemove(int)|0|N|x|6332|x|7854
01|java.util.ArrayList|isEmpty()|0|L|x|44|x|111
02|java.util.ArrayList|isEmpty()|0|L|x|47|x|114
03|java.util.ArrayList|isEmpty()|0|L||146||171
05|java.util.ArrayList|isEmpty()|0|L|x|44|x|111
06|java.util.ArrayList|isEmpty()|0|L|x|47|x|115
07|java.util.ArrayList|isEmpty()|0|L|x|47|x|115
