ExpNum|Class|Method|Contract number|Contract kind|Closed?-IntegerSimplificationRulesFull|Nodes-IntegerSimplificationRulesFull|Closed?-IntegerSimplificationRulesMinimal|Nodes-IntegerSimplificationRulesMinimal
05|java.util.ArrayList|add(java.lang.Object)|1|N|x|1177|x|1216
05|java.util.ArrayList|add(java.lang.Object)|2|N|x|467|x|470
06|java.util.ArrayList|add(java.lang.Object)|0|E|x|1099|x|1148
06|java.util.ArrayList|add(java.lang.Object)|0|L|x|3097|x|3094
06|java.util.ArrayList|add(java.lang.Object)|2|N|x|1917|x|1889
07|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
07|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
08|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
08|java.util.ArrayList|add(java.lang.Object)|0|L|x|2913|x|2920
08|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
11|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
11|java.util.ArrayList|add(java.lang.Object)|0|L|x|2004|x|2248
11|java.util.ArrayList|add(java.lang.Object)|1|N|x|2343|x|2354
11|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
12|java.util.ArrayList|add(java.lang.Object)|0|E||783||783
12|java.util.ArrayList|add(java.lang.Object)|0|L||747||747
12|java.util.ArrayList|add(java.lang.Object)|0|N||749||749
12|java.util.ArrayList|add(java.lang.Object)|1|N||1220||1226
12|java.util.ArrayList|add(java.lang.Object)|2|N||1213||1212
13|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
13|java.util.ArrayList|add(java.lang.Object)|0|L|x|1292|x|1264
13|java.util.ArrayList|add(java.lang.Object)|0|N||977||974
13|java.util.ArrayList|add(java.lang.Object)|1|N|x|1318|x|1297
13|java.util.ArrayList|add(java.lang.Object)|2|N|x|23|x|23
14|java.util.ArrayList|add(java.lang.Object)|0|E|x|944|x|944
14|java.util.ArrayList|add(java.lang.Object)|0|L||1116||1116
14|java.util.ArrayList|add(java.lang.Object)|0|N||1128||1128
14|java.util.ArrayList|add(java.lang.Object)|1|N||1192||1192
14|java.util.ArrayList|add(java.lang.Object)|2|N|x|960|x|996
16|java.util.ArrayList|add(java.lang.Object)|0|E|x|1165|x|1140
16|java.util.ArrayList|add(java.lang.Object)|0|L|x|3081|x|3103
16|java.util.ArrayList|add(java.lang.Object)|1|N|x|4777|x|4776
16|java.util.ArrayList|add(java.lang.Object)|2|N|x|4771|x|4746
17|java.util.ArrayList|add(java.lang.Object)|0|E||1548||1549
18|java.util.ArrayList|add(java.lang.Object)|0|E||1531||1573
01|java.util.ArrayList|clear()|0|L||466||470
01|java.util.ArrayList|clear()|0|N||502||498
02|java.util.ArrayList|clear()|0|L|x|1731||1105
02|java.util.ArrayList|clear()|0|N||1711||1095
03|java.util.ArrayList|clear()|0|L||2794||1512
03|java.util.ArrayList|clear()|0|N||2772||1572
06|java.util.ArrayList|clear()|0|L||1223||1232
06|java.util.ArrayList|clear()|0|N||1525||1525
09|java.util.ArrayList|clear()|0|L||1091||1078
09|java.util.ArrayList|clear()|0|N||1110||1103
11|java.util.ArrayList|clear()|0|L||1236||1236
11|java.util.ArrayList|clear()|0|N||1554||1553
