ExpNum|Class|Method|Contract number|Contract kind|Closed?-ArithmeticTreatmentDefOps|Nodes-ArithmeticTreatmentDefOps|Closed?-ArithmeticTreatmentModelSearch|Nodes-ArithmeticTreatmentModelSearch
16|java.util.ArrayList|add(java.lang.Object)|0|E|x|1167|x|1140
16|java.util.ArrayList|add(java.lang.Object)|0|L|x|3159|x|3103
16|java.util.ArrayList|add(java.lang.Object)|1|N|x|4805|x|4776
16|java.util.ArrayList|add(java.lang.Object)|2|N|x|4682|x|4746
01|java.util.ArrayList|clear()|0|L|x|1823|x|1801
01|java.util.ArrayList|clear()|0|N|x|1572|x|1863
02|java.util.ArrayList|clear()|0|L|x|1731|x|1735
03|java.util.ArrayList|clear()|0|L|x|1983|x|1980
03|java.util.ArrayList|clear()|0|N|x|2016|x|1991
04|java.util.ArrayList|clear()|0|L|x|1695|x|1680
07|java.util.ArrayList|clear()|0|L|x|2254|x|2270
07|java.util.ArrayList|clear()|0|N|x|2325|x|2312
08|java.util.ArrayList|clear()|0|L|x|1243|x|1239
11|java.util.ArrayList|clear()|0|L|x|1714|x|1724
11|java.util.ArrayList|clear()|0|N|x|1739|x|1752
12|java.util.ArrayList|clear()|0|L|x|1695|x|1680
13|java.util.ArrayList|clear()|0|L|x|1983|x|1980
01|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|237
02|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
03|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
04|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|237
07|java.util.ArrayList|ensureCapacity(int)|0|N|x|374|x|374
08|java.util.ArrayList|ensureCapacity(int)|0|N|x|231|x|231
11|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
12|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|237
13|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
01|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
02|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
03|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
04|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
07|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
08|java.util.ArrayList|isEmpty()|0|L|x|47|x|47
11|java.util.ArrayList|isEmpty()|0|L|x|115|x|115
12|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
13|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
01|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|1052|x|1002
03|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|456|x|454
04|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|951|x|939
12|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|244|x|242
13|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|456|x|454
01|java.util.ArrayList|size()|0|N|x|41|x|41
01|java.util.ArrayList|size()|1|N|x|67|x|62
02|java.util.ArrayList|size()|0|N|x|89|x|88
02|java.util.ArrayList|size()|1|N|x|104|x|108
03|java.util.ArrayList|size()|0|N|x|89|x|88
03|java.util.ArrayList|size()|1|N|x|104|x|108
04|java.util.ArrayList|size()|0|N|x|41|x|41
04|java.util.ArrayList|size()|1|N|x|67|x|62
07|java.util.ArrayList|size()|0|N|x|80|x|80
07|java.util.ArrayList|size()|1|N|x|106|x|106
08|java.util.ArrayList|size()|0|N|x|44|x|44
08|java.util.ArrayList|size()|1|N|x|67|x|62
11|java.util.ArrayList|size()|0|N|x|89|x|89
11|java.util.ArrayList|size()|1|N|x|104|x|104
12|java.util.ArrayList|size()|0|N|x|41|x|41
12|java.util.ArrayList|size()|1|N|x|67|x|62
13|java.util.ArrayList|size()|0|N|x|89|x|88
13|java.util.ArrayList|size()|1|N|x|104|x|108
01|java.util.ArrayList|trimToSize()|0|N|x|1095|x|1090
03|java.util.ArrayList|trimToSize()|0|N|x|1649|x|1680
12|java.util.ArrayList|trimToSize()|0|N|x|1320|x|1331
