ExpNum|Class|Method|Contract number|Contract kind|Closed?-ClassAxiomRuleOff|Nodes-ClassAxiomRuleOff|Closed?-ClassAxiomRuleDelayed|Nodes-ClassAxiomRuleDelayed
01|java.util.ArrayList|ensureCapacity(int)|1|N||256||237
02|java.util.ArrayList|ensureCapacity(int)|0|N||398|x|374
02|java.util.ArrayList|ensureCapacity(int)|1|N||4204||4276
03|java.util.ArrayList|ensureCapacity(int)|0|N||451|x|374
06|java.util.ArrayList|ensureCapacity(int)|0|N||362||300
06|java.util.ArrayList|ensureCapacity(int)|1|N||2606||2323
10|java.util.ArrayList|ensureCapacity(int)|0|N||267|x|237
10|java.util.ArrayList|ensureCapacity(int)|1|N||787||754
11|java.util.ArrayList|ensureCapacity(int)|0|N||361||300
11|java.util.ArrayList|ensureCapacity(int)|1|N||3995||2604
12|java.util.ArrayList|ensureCapacity(int)|0|N||451|x|374
13|java.util.ArrayList|ensureCapacity(int)|0|N||133||143
13|java.util.ArrayList|ensureCapacity(int)|1|N||255||237
14|java.util.ArrayList|ensureCapacity(int)|0|N||268||277
14|java.util.ArrayList|ensureCapacity(int)|1|N||2015||2031
16|java.util.ArrayList|ensureCapacity(int)|0|N||447|x|374
17|java.util.ArrayList|ensureCapacity(int)|0|N||451|x|374
18|java.util.ArrayList|ensureCapacity(int)|0|N||361||300
18|java.util.ArrayList|ensureCapacity(int)|1|N||2898||2551
01|java.util.ArrayList|fastRemove(int)|0|N||290||290
06|java.util.ArrayList|fastRemove(int)|0|N||4262||2922
10|java.util.ArrayList|fastRemove(int)|0|N||2305||2253
13|java.util.ArrayList|fastRemove(int)|0|N||283||283
18|java.util.ArrayList|fastRemove(int)|0|N||4476||3008
01|java.util.ArrayList|isEmpty()|0|L||65|x|44
02|java.util.ArrayList|isEmpty()|0|L||122|x|111
03|java.util.ArrayList|isEmpty()|0|L||171|x|111
06|java.util.ArrayList|isEmpty()|0|L||172|x|111
10|java.util.ArrayList|isEmpty()|0|L||55|x|44
11|java.util.ArrayList|isEmpty()|0|L||153|x|111
12|java.util.ArrayList|isEmpty()|0|L||171|x|111
13|java.util.ArrayList|isEmpty()|0|L||46|x|44
14|java.util.ArrayList|isEmpty()|0|L||113|x|111
16|java.util.ArrayList|isEmpty()|0|L||190|x|111
17|java.util.ArrayList|isEmpty()|0|L||171|x|111
18|java.util.ArrayList|isEmpty()|0|L||153|x|111
01|java.util.ArrayList|outOfBoundsMsg(int)|0|N||681|x|1029
02|java.util.ArrayList|outOfBoundsMsg(int)|0|N||6622||6465
03|java.util.ArrayList|outOfBoundsMsg(int)|0|N||474|x|455
06|java.util.ArrayList|outOfBoundsMsg(int)|0|N||475|x|440
