ExpNum|Class|Method|Contract number|Contract kind|Closed?-StringsOn|Nodes-StringsOn|Closed?-StringsOff|Nodes-StringsOff
04|java.util.ArrayList|add(java.lang.Object)|1|N|x|4145|x|4145
04|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
05|java.util.ArrayList|add(java.lang.Object)|0|E|x|409|x|409
05|java.util.ArrayList|add(java.lang.Object)|0|L|x|1790|x|1790
05|java.util.ArrayList|add(java.lang.Object)|1|N|x|1999|x|1999
05|java.util.ArrayList|add(java.lang.Object)|2|N|x|503|x|503
06|java.util.ArrayList|add(java.lang.Object)|0|E||1261||1261
06|java.util.ArrayList|add(java.lang.Object)|0|N||20949||20949
07|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
07|java.util.ArrayList|add(java.lang.Object)|0|L|x|1917|x|1917
07|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
08|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
08|java.util.ArrayList|add(java.lang.Object)|0|L|x|2044|x|2044
08|java.util.ArrayList|add(java.lang.Object)|1|N|x|2060|x|2037
08|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
09|java.util.ArrayList|add(java.lang.Object)|0|E|x|944|x|944
09|java.util.ArrayList|add(java.lang.Object)|0|L|x|1859|x|1859
09|java.util.ArrayList|add(java.lang.Object)|0|N||2068||2068
09|java.util.ArrayList|add(java.lang.Object)|1|N|x|1997|x|1997
09|java.util.ArrayList|add(java.lang.Object)|2|N|x|960|x|960
10|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|22
10|java.util.ArrayList|add(java.lang.Object)|2|N|x|23|x|23
12|java.util.ArrayList|add(java.lang.Object)|0|E||783||783
12|java.util.ArrayList|add(java.lang.Object)|0|L||747||747
12|java.util.ArrayList|add(java.lang.Object)|0|N||749||749
12|java.util.ArrayList|add(java.lang.Object)|1|N||1220||1220
12|java.util.ArrayList|add(java.lang.Object)|2|N||1213||1213
13|java.util.ArrayList|add(java.lang.Object)|0|E|x|382|x|382
13|java.util.ArrayList|add(java.lang.Object)|0|L|x|1705|x|1705
13|java.util.ArrayList|add(java.lang.Object)|0|N|x|11408|x|11408
13|java.util.ArrayList|add(java.lang.Object)|1|N|x|1756|x|1756
13|java.util.ArrayList|add(java.lang.Object)|2|N|x|439|x|439
14|java.util.ArrayList|add(java.lang.Object)|0|E|x|406|x|406
14|java.util.ArrayList|add(java.lang.Object)|0|L|x|1777|x|1777
14|java.util.ArrayList|add(java.lang.Object)|1|N|x|1981|x|1981
14|java.util.ArrayList|add(java.lang.Object)|2|N|x|495|x|495
